sample_id,label,modality,source_name,window_index,window_start_frame,window_end_frame,center_time_s,analysis_fps,roi_x,roi_y,roi_w,roi_h,vision_dx_peak_hz,vision_dy_peak_hz,vision_dx_peak_power,vision_dy_peak_power,vision_dx_band_power,vision_dy_band_power,vision_dx_spectral_centroid_hz,vision_dy_spectral_centroid_hz,vision_dx_spectral_entropy,vision_dy_spectral_entropy,sensor_sample_rate_hz,sensor_window_duration_s,sensor_ax_rms,sensor_ay_rms,sensor_az_rms,sensor_ax_peak_hz,sensor_ay_peak_hz,sensor_az_peak_hz,sensor_ax_peak_power,sensor_ay_peak_power,sensor_az_peak_power
demo_looseness,looseness,fused,demo_looseness.mp4,0,0,200,0.25,400.0,120,80,96,64,17.3515,18.7934,0.7826,1.1421,1.44,1.76,19.0867,20.6727,0.564,0.5641,400.0,0.5,0.3923,0.4657,0.2283,77.041,82.0163,40.3049,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,1,100,300,0.5,400.0,120,80,96,64,18.2493,20.5024,0.8938,1.0738,1.44,1.76,20.0743,22.5526,0.5718,0.5895,400.0,0.5,0.4129,0.4647,0.2191,73.5459,79.5273,39.6712,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,2,200,400,0.75,400.0,120,80,96,64,18.5159,21.6689,0.942,1.1683,1.44,1.76,20.3675,23.8358,0.5658,0.5789,400.0,0.5,0.3791,0.4525,0.2188,75.8691,78.4842,40.1013,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,3,300,500,1.0,400.0,120,80,96,64,18.8545,21.4603,0.9228,1.2217,1.44,1.76,20.74,23.6064,0.5373,0.5768,400.0,0.5,0.4205,0.4478,0.2288,74.9701,79.0281,39.7848,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,4,400,600,1.25,400.0,120,80,96,64,18.8886,18.733,0.8083,1.0712,1.44,1.76,20.7774,20.6064,0.5625,0.5822,400.0,0.5,0.4051,0.4452,0.2095,74.6123,74.8395,40.9585,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,5,500,700,1.5,400.0,120,80,96,64,19.4217,21.9978,0.9173,1.0684,1.44,1.76,21.3639,24.1975,0.5721,0.5675,400.0,0.5,0.3842,0.4365,0.2123,73.9134,82.3396,40.0253,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,6,600,800,1.75,400.0,120,80,96,64,15.3791,18.4082,1.0199,1.043,1.44,1.76,16.9171,20.249,0.56,0.6064,400.0,0.5,0.409,0.4534,0.2148,74.5318,79.6481,39.8208,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,7,700,900,2.0,400.0,120,80,96,64,17.6191,18.9321,0.8699,1.0424,1.44,1.76,19.381,20.8254,0.5711,0.6014,400.0,0.5,0.384,0.4615,0.2229,78.1376,80.6413,39.0313,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,8,800,1000,2.25,400.0,120,80,96,64,19.4235,18.9565,0.9541,1.0601,1.44,1.76,21.3659,20.8521,0.5587,0.5665,400.0,0.5,0.4071,0.4556,0.2201,75.5779,77.9595,39.7815,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,9,900,1100,2.5,400.0,120,80,96,64,16.7792,19.6937,0.8467,1.1806,1.44,1.76,18.4572,21.6631,0.5741,0.6174,400.0,0.5,0.3942,0.4491,0.2136,75.1725,80.5433,39.4344,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,10,1000,1200,2.75,400.0,120,80,96,64,17.7843,19.6185,0.9042,1.0758,1.44,1.76,19.5628,21.5804,0.5865,0.5793,400.0,0.5,0.4032,0.442,0.2266,74.8272,77.9936,40.3379,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,11,1100,1300,3.0,400.0,120,80,96,64,18.7174,17.5253,0.8512,1.0885,1.44,1.76,20.5892,19.2778,0.5624,0.5968,400.0,0.5,0.4033,0.4622,0.2236,75.9423,79.1682,39.8287,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,12,1200,1400,3.25,400.0,120,80,96,64,17.408,18.2215,0.8523,1.1285,1.44,1.76,19.1488,20.0437,0.5548,0.5491,400.0,0.5,0.4018,0.4409,0.2214,78.0186,80.9334,39.6555,0.16,0.2025,0.0484
