sample_id,label,modality,source_name,window_index,window_start_frame,window_end_frame,center_time_s,analysis_fps,roi_x,roi_y,roi_w,roi_h,vision_dx_peak_hz,vision_dy_peak_hz,vision_dx_peak_power,vision_dy_peak_power,vision_dx_band_power,vision_dy_band_power,vision_dx_spectral_centroid_hz,vision_dy_spectral_centroid_hz,vision_dx_spectral_entropy,vision_dy_spectral_entropy,sensor_sample_rate_hz,sensor_window_duration_s,sensor_ax_rms,sensor_ay_rms,sensor_az_rms,sensor_ax_peak_hz,sensor_ay_peak_hz,sensor_az_peak_hz,sensor_ax_peak_power,sensor_ay_peak_power,sensor_az_peak_power
demo_normal,normal,fused,demo_normal.mp4,0,0,200,0.25,400.0,120,80,96,64,11.5533,13.8552,0.4611,0.6249,0.8,0.96,12.7086,15.2407,0.4423,0.4209,400.0,0.5,0.1848,0.2103,0.0897,50.1985,51.2848,25.055,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,1,100,300,0.5,400.0,120,80,96,64,12.2016,14.5362,0.5403,0.6304,0.8,0.96,13.4218,15.9899,0.4062,0.3996,400.0,0.5,0.1917,0.194,0.0863,50.1004,51.8508,24.7972,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,2,200,400,0.75,400.0,120,80,96,64,11.8574,13.9463,0.4813,0.5902,0.8,0.96,13.0431,15.341,0.4112,0.4567,400.0,0.5,0.1759,0.2177,0.0924,49.9572,52.8935,24.8592,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,3,300,500,1.0,400.0,120,80,96,64,12.8878,13.9966,0.511,0.5868,0.8,0.96,14.1766,15.3963,0.4142,0.419,400.0,0.5,0.1677,0.1986,0.0859,50.2003,51.7858,25.3208,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,4,400,600,1.25,400.0,120,80,96,64,11.9623,14.0246,0.4905,0.6332,0.8,0.96,13.1585,15.4271,0.3912,0.4458,400.0,0.5,0.1872,0.2194,0.1007,50.395,52.0937,25.2469,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,5,500,700,1.5,400.0,120,80,96,64,12.5158,14.3873,0.5071,0.5767,0.8,0.96,13.7674,15.826,0.4233,0.4419,400.0,0.5,0.1882,0.2216,0.0899,50.3183,52.185,24.9393,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,6,600,800,1.75,400.0,120,80,96,64,11.841,14.2595,0.5146,0.7052,0.8,0.96,13.0251,15.6854,0.4156,0.4065,400.0,0.5,0.1512,0.1993,0.0968,50.5345,51.9473,25.2348,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,7,700,900,2.0,400.0,120,80,96,64,12.0367,14.2136,0.4491,0.6282,0.8,0.96,13.2403,15.6349,0.4273,0.4463,400.0,0.5,0.1807,0.2239,0.0921,50.1916,52.3735,25.2934,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,8,800,1000,2.25,400.0,120,80,96,64,12.3887,13.9158,0.5023,0.6489,0.8,0.96,13.6275,15.3073,0.3918,0.4083,400.0,0.5,0.1835,0.2211,0.0811,49.7434,52.3722,24.7787,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,9,900,1100,2.5,400.0,120,80,96,64,12.2779,13.3519,0.5111,0.5886,0.8,0.96,13.5057,14.6871,0.3926,0.4218,400.0,0.5,0.1963,0.2096,0.0936,50.1847,52.715,25.093,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,10,1000,1200,2.75,400.0,120,80,96,64,11.2416,14.1503,0.5106,0.6497,0.8,0.96,12.3657,15.5653,0.4071,0.4369,400.0,0.5,0.1697,0.2019,0.0879,50.3415,52.0271,25.1509,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,11,1100,1300,3.0,400.0,120,80,96,64,12.3411,14.0022,0.5655,0.6235,0.8,0.96,13.5752,15.4024,0.4354,0.4509,400.0,0.5,0.1659,0.2073,0.0953,50.4087,51.9282,24.8661,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,12,1200,1400,3.25,400.0,120,80,96,64,11.2667,14.1578,0.5404,0.5383,0.8,0.96,12.3934,15.5736,0.4097,0.4396,400.0,0.5,0.1784,0.2241,0.0877,50.3749,52.0443,25.5206,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,13,1300,1500,3.5,400.0,120,80,96,64,12.9044,14.0839,0.4561,0.5694,0.8,0.96,14.1949,15.4923,0.393,0.409,400.0,0.5,0.1806,0.2144,0.0852,49.9545,52.1939,25.0496,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,14,1400,1600,3.75,400.0,120,80,96,64,11.7759,13.8143,0.3807,0.5631,0.8,0.96,12.9534,15.1957,0.4299,0.4249,400.0,0.5,0.1797,0.2255,0.0923,50.6206,52.3212,25.3082,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,15,1500,1700,4.0,400.0,120,80,96,64,11.9506,14.2228,0.4145,0.6063,0.8,0.96,13.1457,15.6451,0.4328,0.451,400.0,0.5,0.1799,0.2111,0.0953,49.7042,51.7762,24.74,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,16,1600,1800,4.25,400.0,120,80,96,64,11.4289,13.2855,0.4575,0.5512,0.8,0.96,12.5718,14.6141,0.4145,0.4332,400.0,0.5,0.1878,0.2085,0.0926,50.1842,51.6625,25.0699,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,17,1700,1900,4.5,400.0,120,80,96,64,11.8876,13.398,0.4729,0.5933,0.8,0.96,13.0763,14.7378,0.3942,0.4401,400.0,0.5,0.1772,0.2014,0.0804,50.5576,51.7693,24.8815,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,18,1800,2000,4.75,400.0,120,80,96,64,11.798,14.0762,0.5742,0.5236,0.8,0.96,12.9778,15.4838,0.4227,0.425,400.0,0.5,0.1766,0.2087,0.0983,50.2937,51.6559,25.0109,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,19,1900,2100,5.0,400.0,120,80,96,64,12.0495,13.9346,0.4845,0.5963,0.8,0.96,13.2545,15.328,0.4173,0.4103,400.0,0.5,0.179,0.2196,0.0847,50.1553,52.1809,24.9542,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,20,2000,2200,5.25,400.0,120,80,96,64,12.3706,14.3935,0.525,0.5621,0.8,0.96,13.6077,15.8329,0.4455,0.3925,400.0,0.5,0.1759,0.2158,0.0856,49.9114,52.0164,24.6471,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,21,2100,2300,5.5,400.0,120,80,96,64,12.3352,13.6682,0.5478,0.5301,0.8,0.96,13.5687,15.035,0.4501,0.4342,400.0,0.5,0.1704,0.198,0.093,49.9797,52.1208,25.2506,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,22,2200,2400,5.75,400.0,120,80,96,64,12.0295,14.3857,0.4558,0.5791,0.8,0.96,13.2324,15.8242,0.4255,0.3983,400.0,0.5,0.1685,0.2234,0.0943,49.2966,51.1723,25.0511,0.0324,0.0441,0.0081
demo_normal,normal,fused,demo_normal.mp4,23,2300,2500,6.0,400.0,120,80,96,64,12.2596,13.5386,0.5116,0.5463,0.8,0.96,13.4856,14.8925,0.3928,0.4393,400.0,0.5,0.1865,0.2054,0.0975,50.0419,51.611,24.501,0.0324,0.0441,0.0081
